"Burst Analysis Averaged Over Each Well"
"file= exampleRecording_1012016_plate1_DIV3"
" "
"recording time (s): [0.01048 ,50]"
" "
"treatment","well","nAE","nAB","duration","mean_dur","mean_freq","nbursts","bursts_per_sec","bursts_per_min","sd_dur","mean_freq_in_burst","sd_freq_in_burst","mean_ISIs","sd_ISIs","mean_spikes_in_burst","sd_spikes_in_burst","total_spikes_in_burst","per_spikes_in_burst","mean_IBIs","sd_IBIs","cv_IBIs","file"
"treatX","B2","13","12","653.84384","0.7244224","13.7432307692308","124","0.189692307692308","11.3815384615385","0.584504789403927","98.83232335058","62.2750973704373","0.0117999478759447","0.013913429497916","62.384","70.171","7798","86.779","4.358","4.282","1.018","exampleRecording_1012016_plate1_DIV3"
"treatX","B3","16","15","804.73088","0.762401684210526","9.406875","94","0.11675","7.005","0.696842900990577","86.7455810108327","49.676134291935","0.0111582437220767","0.012277490370445","69.316","84.682","6585","86.988","4.805","6.319","0.76","exampleRecording_1012016_plate1_DIV3"
"untreated","B4","13","12","653.84384","0.114110354609929","6.40207692307692","281","0.429846153846154","25.7907692307692","0.219369403247154","250.225170467093","150.741391452214","0.0118829837518464","0.0205741970008074","10.599","14.348","2989","71.405","0.79","1.093","0.723","exampleRecording_1012016_plate1_DIV3"
"treatY","B6","12","10","603.54816","0.482859797979798","4.60441666666667","97","0.160916666666667","9.655","0.622865821836616","71.8572707113385","58.5556142104612","0.0274888556641748","0.0439248217861257","18.545","17.947","1836","66.067","3.103","3.445","0.901","exampleRecording_1012016_plate1_DIV3"
"treatY","B7","12","11","603.54816","0.585163265306123","4.04266666666667","97","0.160583333333333","9.635","0.685913178592267","62.1998142331983","93.6210372993721","0.0476691604322527","0.0680010382191225","13.265","9.404","1300","53.279","4.578","5.704","0.803","exampleRecording_1012016_plate1_DIV3"
"treatX","C2","13","12","653.84384","0.49400875","4.06976923076923","63","0.0964615384615385","5.78769230769231","0.451303310049799","87.2925955213148","72.4499910257011","0.01479483387927","0.0166400678016879","34.375","37.532","2200","82.676","3.956","4.678","0.846","exampleRecording_1012016_plate1_DIV3"
"treatX","C3","13","12","653.84384","0.782314105263158","8.29246153846154","94","0.143538461538462","8.61230769230769","0.706740121991788","105.169905919703","87.0332238540498","0.0155253478170044","0.0178387607899857","51.379","45.859","4881","90.022","6.078","5.579","1.089","exampleRecording_1012016_plate1_DIV3"
"treatY","C6","12","10","603.54816","1.40959058823529","7.33","66","0.1095","6.57","1.40367518927022","38.8253464448949","21.0771548464482","0.0363076363636364","0.0578160246776832","39.794","35.718","2706","61.166","5.337","6.957","0.767","exampleRecording_1012016_plate1_DIV3"
"treatY","C7","13","8","653.84384","0.343890256410257","2.57869230769231","73","0.111769230769231","6.70615384615385","0.592840283975229","82.8255610218629","91.5859793657093","0.0395625958702065","0.075928504894969","9.628","11.01","751","44.543","3.607","3.84","0.939","exampleRecording_1012016_plate1_DIV3"
"treatX","D2","14","12","704.13952","0.47717352112676","11.36","140","0.198857142857143","11.9314285714286","0.460465476951432","114.210342210207","72.6383865974864","0.0105068444720112","0.0124460603693159","46.401","51.742","6589","82.373","3.334","4.77","0.699","exampleRecording_1012016_plate1_DIV3"
"treatX","D3","15","14","754.4352","0.774556721311476","12.7738666666667","121","0.160466666666667","9.628","0.511494721069263","90.2159655874839","51.2231306219036","0.011946386852086","0.0121607798479823","65.828","54.866","8031","83.335","3.708","5.856","0.633","exampleRecording_1012016_plate1_DIV3"
"untreated","D5","14","13","704.13952","0.3904975","2.05078571428571","95","0.135","8.1","0.537698193689399","188.18981877118","183.99804189897","0.0369701775147929","0.0517453823489625","11.552","12.131","1109","76.801","2.615","4.044","0.647","exampleRecording_1012016_plate1_DIV3"
"treatY","D6","13","9","653.84384","0.943458823529412","3.46723076923077","64","0.0979230769230769","5.87538461538461","1.21602696145426","45.2144994716489","56.0912241292047","0.0475223703703704","0.0557918419022235","20.794","35.571","1414","62.373","5.151","5.981","0.861","exampleRecording_1012016_plate1_DIV3"
"treatY","D7","12","11","603.54816","0.449290505050505","4.89433333333333","98","0.162416666666667","9.745","0.928210831127935","84.2301612899755","64.2606285447754","0.0278695238095238","0.0487301508079632","17.111","37.839","1694","57.346","3.864","4.896","0.789","exampleRecording_1012016_plate1_DIV3"
"treatX","E2","14","13","704.13952","0.570910515463918","6.81971428571429","96","0.136285714285714","8.17714285714286","0.575208801560303","97.7193935461272","64.0472404220717","0.0137210901883053","0.025927957542113","42.598","55.549","4132","86.047","5.198","5.466","0.951","exampleRecording_1012016_plate1_DIV3"
"treatX","E3","16","15","804.73088","0.652955402298851","7.4546875","86","0.1069375","6.41625","0.536926959284521","84.304517044313","56.2457976913392","0.01174186027284","0.0234810426778343","56.598","81.172","4924","82.08","5.932","6.487","0.914","exampleRecording_1012016_plate1_DIV3"
"untreated","E4","14","13","704.13952","0.105170149253731","3.16971428571429","66","0.0939285714285714","5.63571428571429","0.171022799733735","293.778507462106","124.98709867933","0.00661633802816902","0.00901243045702835","16.881","25.361","1131","50.672","0.402","0.716","0.561","exampleRecording_1012016_plate1_DIV3"
"untreated","E5","11","5","553.25248","0.0195099999999995","0.468181818181818","10","0.0181818181818182","1.09090909090909","0.0161172470767601","394.601985476413","26.800716632332","0.00273824561403501","0.000829203953063947","7.75","6.547","124","47.876","-0.031","0.006","-5.167","exampleRecording_1012016_plate1_DIV3"
"treatY","E6","14","11","704.13952","0.289686197183099","4.25042857142857","139","0.197428571428571","11.8457142857143","0.404171462029136","88.6184633141088","51.2946168851309","0.0211602057613169","0.0459161546406366","14.669","9.966","2083","69.596","2.359","3.323","0.71","exampleRecording_1012016_plate1_DIV3"
"treatY","E7","14","11","704.13952","0.261821935483871","5.70614285714286","121","0.171785714285714","10.3071428571429","0.349912135976363","79.0382134927156","80.2790575012326","0.0313983752417795","0.05459225285072","9.315","6.669","1155","28.746","3.743","3.669","1.02","exampleRecording_1012016_plate1_DIV3"
" "
" "
"Channel Burst Summary"
"file= exampleRecording_1012016_plate1_DIV3"
" "
"file","well","channels","spikes","mean_freq","nbursts","bursts_per_sec","bursts_per_min","bursty","mean_dur","sd_dur","mean_spikes","sd_spikes","per_spikes_in_burst","per_spikes_out_burst","mean_si","mean_isis","sd_mean_isis","mean_IBIs","sd_IBIs","cv_IBIs","burst_type"
"exampleRecording_1012016_plate1_DIV3","B2","B2_11",154,3.062,8,0.159,9.54,1,0.278,0.229,15.75,5.548,81.818,18.182,33.441,0.0188189830508475,0.0234024475084195,6.493,4.744,0.731,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_12",2113,42.012,10,0.199,11.94,1,1.048,0.641,185.7,137.481,87.885,12.115,127.67,0.00567293990254466,0.00439193848915099,4.262,4.293,1.007,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_13",1472,29.267,14,0.278,16.68,1,0.785,0.378,90.929,51.738,86.481,13.519,63.041,0.00873467831612391,0.00700109811649714,2.882,3.737,1.297,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_14",585,11.631,11,0.219,13.14,1,0.983,1.015,44.727,27.335,84.103,15.897,35.32,0.0224874844074844,0.0218951583049833,3.662,4.202,1.147,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_21",244,4.851,11,0.219,13.14,1,0.444,0.306,18.727,8.475,84.426,15.574,29.098,0.0250367179487179,0.0347055876171696,4.347,4.707,1.083,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_22",926,18.411,12,0.239,14.34,1,1.195,0.652,72.083,41.61,93.413,6.587,39.523,0.0168090973036342,0.0091958087899626,3.151,3.68,1.168,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_23",362,7.197,11,0.219,13.14,1,0.542,0.46,26.727,6.695,81.215,18.785,36.718,0.0210764664310954,0.0241768191880398,4.305,4.645,1.079,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_31",110,2.187,7,0.139,8.34,1,0.212,0.16,13.143,3.848,83.636,16.364,32.645,0.017492705882353,0.0270799973354186,7.595,4.219,0.556,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_32",1472,29.267,14,0.278,16.68,1,0.72,0.345,91,68.699,86.549,13.451,69.589,0.00799879365079365,0.00714544781221819,2.941,3.874,1.317,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_33",1078,21.433,10,0.199,11.94,1,1.234,0.483,93.3,55.408,86.549,13.451,53.936,0.0133710075839653,0.00844056788929921,4.067,4.135,1.017,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_41",177,3.519,8,0.159,9.54,1,0.293,0.198,17.125,4.734,77.401,22.599,35.805,0.0181922480620155,0.0274923598830291,6.469,4.743,0.733,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_43",5,0.099,0,0,0,0,0,NA,0,NA,0,100,0,NA,NA,NA,NA,NA,"ps"
"exampleRecording_1012016_plate1_DIV3","B2","B2_44",288,5.726,8,0.159,9.54,1,0.575,0.234,31.125,17.192,86.458,13.542,44.66,0.0190964315352697,0.0173037676691042,6.193,4.676,0.755,"ps"
"exampleRecording_1012016_plate1_DIV3","B3","B3_11",1339,26.623,9,0.179,10.74,1,0.955,0.811,127.111,112.954,85.437,14.563,75.665,0.00757272246696035,0.00594630650909919,3.219,6.21,1.929,"ps"
"exampleRecording_1012016_plate1_DIV3","B3","B3_12",144,2.863,6,0.119,7.14,1,0.519,0.482,20.167,10.265,84.028,15.972,35.573,0.027088,0.0379150367615749,6.025,7.306,1.213,"ps"
