"recording time (s): [0.01 ,35]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8_41",NA,NA,NA,NA
"A8_42",NA,NA,NA,NA
"A8_43",NA,NA,NA,NA
"A8_44",NA,NA,NA,NA
"B1_11",NA,NA,NA,NA
"B1_12",NA,NA,NA,NA
"B1_13",NA,NA,NA,NA
"B1_14",NA,NA,NA,NA
"B1_21",NA,NA,NA,NA
"B1_22",NA,NA,NA,NA
"B1_23",NA,NA,NA,NA
"B1_24",NA,NA,NA,NA
"B1_31",NA,NA,NA,NA
"B1_32",NA,NA,NA,NA
"B1_33",NA,NA,NA,NA
"B1_34",NA,NA,NA,NA
"B1_41",NA,NA,NA,NA
"B1_42",NA,NA,NA,NA
"B1_43",NA,NA,NA,NA
"B1_44",NA,NA,NA,NA
"B2_11","199","5.68475275039193","0.174168080808081","0.174953914742162"
"B2_12","1953","55.7905634247007","0.0179152459016393","0.032891616725014"
"B2_13","1169","33.3943515839607","0.0299260273972603","0.0566614615379997"
"B2_14","524","14.9688966894742","0.0665798852772466","0.0953969841165374"
"B2_21","270","7.71298111862222","0.127601189591078","0.158308317801519"
"B2_22","437","12.4836027734737","0.0799266055045871","0.119538549578567"
"B2_23","304","8.68424540763391","0.115043432343234","0.136113869466075"
"B2_24","2","0.0571331934712757","3.68024",NA
"B2_31","199","5.68475275039193","0.173172929292929","0.169547698891779"
"B2_32","1128","32.2231211177995","0.0310167169476486","0.062464300001258"
"B2_33","1037","29.6235608148565","0.0337630115830116","0.0572081286900411"
"B2_34",NA,NA,NA,NA
"B2_41","289","8.25574645659934","0.120581944444444","0.16635997906089"
"B2_42",NA,NA,NA,NA
"B2_43","3","0.0856997902069136","9.69652","11.8189221520069"
"B2_44","245","6.99881620023127","0.141089180327869","0.1677650415602"
"B3_11","2294","65.5317729115532","0.0150464195377235","0.0373508579624914"
"B3_12","224","6.39891766878288","0.154454170403587","0.168584441739128"
"B3_13","138","3.94219034951802","0.251281167883212","0.173985128772318"
"B3_14","2320","66.2745044266798","0.0148719965502372","0.0271886088307874"
"B3_21","402","11.4837718877264","0.0858992518703242","0.122929790239953"
"B3_22","359","10.255408228094","0.0961651396648045","0.136913063079668"
"B3_23","2109","60.2469525154602","0.0163687286527514","0.028667300460736"
"B3_24","475","13.569133449428","0.0726300421940928","0.116330317926669"
"B3_31","312","8.91277818151901","0.110817491961415","0.140429534409022"
"B3_32","1047","29.9092267822128","0.0329631357552581","0.0641660438105046"
"B3_33","1407","40.1932016070425","0.0245207396870555","0.0498923803226179"
"B3_34","138","3.94219034951802","0.251280583941606","0.185179177967172"
"B3_41","11","0.314232564092016","2.968824","2.16392504254653"
"B3_42","480","13.7119664331062","0.0719839665970772","0.112658426885209"
"B3_43","781","22.3105120505332","0.0441767179487179","0.0791279738327277"
"B3_44","23","0.657031724919671","1.40606545454545","1.27368475038343"
