"recording time (s): [0.01048 ,50]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8_43",NA,NA,NA,NA
"A8_44",NA,NA,NA,NA
"B1_11",NA,NA,NA,NA
"B1_12",NA,NA,NA,NA
"B1_13",NA,NA,NA,NA
"B1_14",NA,NA,NA,NA
"B1_21",NA,NA,NA,NA
"B1_22",NA,NA,NA,NA
"B1_23",NA,NA,NA,NA
"B1_24",NA,NA,NA,NA
"B1_31",NA,NA,NA,NA
"B1_32",NA,NA,NA,NA
"B1_33",NA,NA,NA,NA
"B1_34",NA,NA,NA,NA
"B1_41",NA,NA,NA,NA
"B1_42",NA,NA,NA,NA
"B1_43",NA,NA,NA,NA
"B1_44",NA,NA,NA,NA
"B2_11","154","3.06189318844084","0.318049673202614","1.42855394866739"
"B2_12","2113","42.0115604362045","0.0232245833333333","0.304995745376692"
"B2_13","1472","29.266927099902","0.0336900611828688","0.335082210595166"
"B2_14","585","11.6312176314149","0.0839142465753425","0.587190206853053"
"B2_21","244","4.85131128558158","0.200696625514403","1.07380996272143"
"B2_22","926","18.4111239772481","0.0529753081081081","0.475414698908825"
"B2_23","362","7.19743723516612","0.135786592797784","0.835936165836292"
"B2_24",NA,NA,NA,NA
"B2_31","110","2.18706656317203","0.44008","1.78868408973168"
