"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","2536","4737","3084"
"B3","treatX","3973","4979","3738"
"B4","untreated","1394","3257","0"
"B5","untreated","588","0","54"
"B6","treatY","1375","1135","1587"
"B7","treatY","585","1258","1158"
"C2","treatX","2069","1132","2005"
"C3","treatX","3551","2049","2892"
"C6","treatY","72","2995","1472"
"C7","treatY","523","992","895"
"D2","treatX","4227","3998","6448"
"D3","treatX","5884","6768","4199"
"D6","treatY","281","1091","990"
"D7","treatY","808","1492","1816"
"E2","treatX","2436","2351","2448"
"E3","treatX","3141","2694","2980"
"E4","untreated","0","1552","3364"
"E5","untreated","2445","0","1302"
"E6","treatY","1031","996","1544"
"E7","treatY","931","2023","1887"
