"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","62.8983050847458","636","649.4"
"B3","treatX","91.5833333333333","609.142857142857","506.428571428571"
"B4","untreated","171","92.9375","0"
"B5","untreated","16.3055555555556","0","36.5"
"B6","treatY","55.4761904761905","46.2592592592593","79.5238095238095"
"B7","treatY","19.2592592592593","23.5813953488372","20.9318181818182"
"C2","treatX","46.95","296.75","699.666666666667"
"C3","treatX","72.3666666666667","324.714285714286","380"
"C6","treatY","10.8","95.8387096774194","97.3333333333333"
"C7","treatY","17.4666666666667","16.875","23.5555555555556"
"D2","treatX","94.5666666666667","685.333333333333","835.75"
"D3","treatX","124.8","656.9","863.5"
"D6","treatY","17.1333333333333","26.9677419354839","75"
"D7","treatY","36","31.1590909090909","35.25"
"E2","treatX","59.1833333333333","473.2","605.75"
"E3","treatX","80.3333333333333","900","783.75"
"E4","untreated","0","405.5","283.285714285714"
"E5","untreated","80.4285714285714","0","83"
"E6","treatY","46","53.55","45.2571428571429"
"E7","treatY","20","26.4516129032258","30.2407407407407"
