"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.562930077691454","0.658740091781393","0.581777023203169"
"B3","treatX","0.590780669144981","0.658685011244874","0.449603079143613"
"B4","untreated","0.753513513513513","0.778255675029869","0"
"B5","untreated","0.694214876033058","0","0.103846153846154"
"B6","treatY","0.738453276047261","0.547779922779923","0.581318681318681"
"B7","treatY","0.714285714285714","0.643478260869565","0.591117917304747"
"C2","treatX","0.659757653061224","0.447077409162717","0.754610462928114"
"C3","treatX","0.766458018562487","0.511355128525081","0.534072022160665"
"C6","treatY","0.75","0.781372293242891","0.774736842105263"
"C7","treatY","0.596351197263398","0.712132089016511","0.551787916152898"
"D2","treatX","0.648810437452034","0.622741433021807","0.681174730614832"
"D3","treatX","0.691909689557855","0.772514553133204","0.574025974025974"
"D6","treatY","0.63431151241535","0.707981829980532","0.687977762334955"
"D7","treatY","0.640253565768621","0.671165092217724","0.632091890010442"
"E2","treatX","0.616396761133603","0.731942714819427","0.660907127429806"
"E3","treatX","0.530305588384265","0.662404720924514","0.66236941542565"
"E4","untreated","0","0.714219972388403","0.673743240536751"
"E5","untreated","0.843685300207039","0","0.806691449814126"
"E6","treatY","0.645585472761428","0.448648648648649","0.529855868222375"
"E7","treatY","0.673174258857556","0.646532438478747","0.587118855009334"
