"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.1732","0.11585","0.0757"
"B3","treatX","0.1991","0.1065","0.06885"
"B4","untreated","0.0909","0.1342","0"
"B5","untreated","0.1349","0","0.00155"
"B6","treatY","0.2877","0.0968","0.1005"
"B7","treatY","0.1979","0.1675","0.166"
"C2","treatX","0.1697","0.02385","0.07075"
"C3","treatX","0.2286","0.05275","0.08045"
"C6","treatY","0.0391","0.3959","0.1802"
"C7","treatY","0.1112","0.15645","0.08845"
"D2","treatX","0.2035","0.07285","0.1307"
"D3","treatX","0.2389","0.19075","0.054"
"D6","treatY","0.1661","0.1754","0.1845"
"D7","treatY","0.1647","0.18865","0.2683"
"E2","treatX","0.1746","0.07325","0.0642"
"E3","treatX","0.1814","0.06205","0.07055"
"E4","untreated","0","0.0317","0.0896"
"E5","untreated","0.2251","0","0.05515"
"E6","treatY","0.1702","0.04735","0.09255"
"E7","treatY","0.2552","0.2152","0.1826"
